standard,lemma,postag
this,this,d
day,day,n1
in,in,acp-p
Germany,Germany,n1-nn
called,call,vvn
Meissen,Meisen,n1-nn
Then,then,av
doth,do,vvz
it,it,pn
well,well,av
appear,appear,vvi
the,the,d
Salic,Salique,j-nn
law,law,n1
Was,be,vvd
not,not,xx
devisèd,devise,vvn
for,for,acp-p
the,the,d
realm,realm,n1
of,of,acp-p
France,France,n1-nn
Nor,nor,cc-x
did,do,vvd
the,the,d
French,French,j-nn
possess,possess,vvi
the,the,d
Salic,Salique,j-nn
land,land,n1
Until,until,acp-cs
four,four,crd
hundred,hundred,crd
one,one,crd
and,and,cc
twenty,twenty,crd
years,year,n2
After,after,acp-p
defunction,defunction,n1
of,of,acp-p
King,king,n1
Pharamond,Pharamont,n1-nn
Idly,idle,av_j
supposed,suppose,vvn
the,the,d
founder,founder,n1
of,of,acp-p
this,this,d
law,law,n1
Who,who,crq-q
died,die,vvd
within,within,acp-p
the,the,d
year,year,n1
of,of,acp-p
our,our,po
redemption,redemption,n1
Four,four,crd
hundred,hundred,crd
twenty-six,twenty-six,crd
and,and,cc
Charles,Charles,n1-nn
the,the,d
Great,great,j
Subdued,subdue,vvd
the,the,d
Saxons,Saxon,n2-nn_j
and,and,cc
did,do,vvd
seat,seat,n1
the,the,d
French,French,j-nn
Beyond,beyond,acp-p
the,the,d
river,river,n1
Sala,Sala,n1-nn
in,in,acp-p
the,the,d
year,year,n1
Eight,eight,crd
hundred,hundred,crd
five,five,crd
Besides,beside,acp-av
their,their,po
writers,writer,n2
say,say,vvb
King,king,n1
Pepin,Pepin,n1-nn
which,which,crq-r
deposèd,depose,vvd
Childeric,Childeric,n1-nn
Did,do,vvd
as,as,acp-p
heir,heir,n1
general,general,j
being,be,vvg
descended,descend,vvn
Of,of,acp-p
Blithild,Blithild,n1-nn
which,which,crq-r
was,be,vvd
daughter,daughter,n1
to,to,acp-p
King,king,n1
